rank,address,city,zip,num_npis,total_paid,total_claims,num_unique_codes,num_auth_officials,same_auth_flag,entity_names,auth_officials
856,111 ORIENT AVE,EAST BOSTON,021281006,5,1230770.23,65102,23,4,,"SONS OF DIVINE PROVIDENCE INC dba <UNAVAIL> | SONS OF DIVINE PROVIDENCE,INC. dba <UNAVAIL> | ADVOCATE HEALTHCARE OF EAST BOSTON- ADULT DAY HEALTH CARE | ADVOCATE HEALTHCARE OF EAST BOSTON LLC | PAI PARTICIPANT MA PC",LAURA MCDONNELL | JILL FORD | STAN SAWICKI | JOANN DEMAYO
857,1040 WALTHAM ST,LEXINGTON,024218033,4,1227227.52,6633,7,0,,LUCY HALL | MICHAEL BOWES | LINDA PLOUDE | DARLENE FOWLER,
858,368 FAUNCE CORNER RD,DARTMOUTH,027471257,2,1224476.35,21618,15,1,YES,"PAUL SNYDER | DARTMOUTH DERMATOLOGY ASSOCIATES, PC",PAUL SNYDER
859,126 UNION STREET,MARLBOROUGH,01752,5,1224200.18,29366,27,2,,VINAY KUMAR | JASON CHEN | TONY TONG | UNION DENTAL MARLBOROUGH LLC | MARLBOROUGH DENTAL PARTNERS PC,JOANNE TAVANO | TONY TONG
860,83 BROAD ST,WEYMOUTH,021882313,2,1222796.32,14954,23,1,YES,NICOLAS METRI | METRI AND BOULOS DENTAL ASSOCIATES,NICOLAS METRI
861,279 LINCOLN ST,WORCESTER,016052120,19,1222276.11,19444,18,0,,MICHAEL ENNIS | RONALD ADLER | KATHARINE BARNARD | JOSEPHINE FOWLER | TOPE OLUWA | VIKRAM KAMBAMPATI | STEPHANIE CARTER-HENRY | VIRGINIA VANDUYNE | KIMBERLY BOMBACI | MANJU MAHAJAN | MUKTI KULKARNI | DANIEL WEMPLE | HENRY DEL ROSARIO | JEREMY VINCENT | EMILY ESHLEMAN | REBECCA GWALTNEY | LAURA SCHOERNING | JENNA MULLARKEY | BRIAN STRAN-JOY,
862,211 QUINCY ST,BROCKTON,023022926,2,1217469.63,22679,4,1,YES,HONG TRUONG | HOPE INTEGRATIVE CARE PLLC,HONG TRUONG
863,400 LOWELL AVE STE 4,HAVERHILL,018323661,2,1212766.65,20740,26,1,YES,EXCEL DENTAL OF HAVERHILL LLC | YESHA PATEL,CHITRANG PATEL
864,35 LINCOLN STREET,FRAMINGHAM,01702,2,1212341.47,4119,11,1,YES,ALL ABOUT WOMEN SPECIALISTS IN OB GYN PC | MARY BETHONEY,MARY BETHONEY
865,1690 MAIN ST,SOUTH WEYMOUTH,021901279,2,1211709.18,51439,21,1,YES,"MARIO DOMINGUEZ | NEW BEGINNING HEALTH, PC",ALPHONSO BROWN
866,1 BATHOL ST,WAKEFIELD,018803655,2,1209462.13,35287,9,2,,"WAKEFIELD HEALTHCARE, LLC dba <UNAVAIL> | VANTAGE AT WAKEFIELD LLC",MICHAEL BERG | SAM YUROWITZ
867,8 FARNHAM ST,BOSTON,02119,2,1198414.79,7193,2,0,,LAUREN BUTLER | LYNNETTE LITTLES,
868,1565 N MAIN ST,FALL RIVER,027202972,4,1194727.32,33621,18,2,,"CENTER FOR SIGHT, INC | STEPHEN GAGLIARDI | CHRISTINA BENEVIDES | CENTER FOR SIGHT LLC",DAVID JOHNSON | ROBERT KELLY
869,7 DEAN ST,TAUNTON,027802725,6,1193372.04,17542,5,1,YES,"PAUL STONE | LYSELOHT PAGAN-MORALES | JEAN PEGG | ASSOCIATES IN BEHAVIORAL HEALTH, LLC | MATTHEW SELINES | STACY MAGEE",JOHN STAHL
870,3377 MAIN ST,SPRINGFIELD,011071111,5,1187771.24,151012,38,1,YES,CARTER TALLMAN | DONALD GRIGER | SCOTT HALISTA | RHEUMATOLOGY ASSOCIATES PC | ANTONIO VALENTIN,MARTIN POPPO
871,541 MAIN ST,SOUTH WEYMOUTH,021901868,10,1185218.60,220584,126,2,,"MICHAEL HESSION | PETER HOSHINO | PAUL SCHUBERT | ANTHONY MARKS | SUSAN FEINSTEIN | HARBOR MEDICAL ASSOCIATES, INC. | DAVID DENMARK | HARBOR MEDICAL ASSOCIATES, INC. dba <UNAVAIL> | HARBOR MEDICAL ASSOCIATES, INC. dba <UNAVAIL> | FARAH MALARY",SARATHCHANDRA REDDY | PETER GRAPE
872,232 PLEASANT ST,METHUEN,018447121,2,1179885.81,13670,6,1,YES,"BLUESKIES WELLNESS, INC. dba <UNAVAIL> | CHARLENE BOBEK",BELEN GODWIN
873,178 SAVIN ST,MALDEN,021482329,5,1176546.93,17133,13,1,YES,"HALLMARK HEALTH VISITING NURSE ASSOCIATION AND HOSPICE, INC. dba <UNAVAIL> | HALLMARK HEALTH VISITING NURSE ASSOCIATION AND HOSPICE, INC. | ASHRAF SELIM | DAVE HOLLANDER | JESSICA STEVENSON",DIANE FARRAHER-SMITH
874,451 ANDOVER ST STE 205,NORTH ANDOVER,018455079,2,1174041.65,58173,23,2,,CENTER FOR PSYCHIATRIC MEDICINE PC | BLUEPRINT HEALTHCARE LLC dba <UNAVAIL>,THOMAS MCLAUGHLIN | AKINDELE MAJEKODUMNI
875,4 KEITH WAY STE 3,HINGHAM,020434258,2,1171488.00,25609,13,1,YES,"VISITING DENTAL HYGIENE ASSOCIATES, INC. | VISITING DENTAL HYGIENE, INC.",EMMA LAWSON
876,92 MONTVALE AVE,STONEHAM,021803647,10,1167787.67,38701,56,4,,"WILLIAM DOHERTY | SANGEETA BANERJEE | MICHELLE LOCK | SMITA PATEL | ANGELICA ESPINOSA-LOUISSAINT | ORTHOPEDIC SURGERY, INC | JAMES KNOWLES | COMMONWEALTH PEDIATRICS, LLC | AGILITY WPHO-THP INC dba <UNAVAIL> | APDERM MID SHORE PC",ABRAHAM SHURLAND | MICHELLE LOCK | SAMUEL GOOS | MAUREEN STANTON
877,479 WASHINGTON ST,QUINCY,021695835,2,1164393.66,20209,16,2,,CONVENIENTMD LLC | CONVENIENTMD - FFS UC LLC,GARETH DICKENS | JAROD BOISSONNEAULT
878,84 CHAPIN TER,SPRINGFIELD,011071706,3,1164347.74,28296,43,2,,ALESKA PELAEZ ACOSTA | ALESKA PELAEZ ACOSTA MD PEDIATRICS PC | BAYSIDE PEDIATRICS PC,DANIEL PARRISH | ALESKA PELAEZ ACOSTA
879,575 TURNPIKE ST,NORTH ANDOVER,018455924,3,1163721.47,28667,32,2,,"JOAN GITLIN | JOAN I. GITLIN, M. D. | ORTHOPAEDICS NORTHEAST, LLC",JOAN GITLIN | JILL LEAHY
880,477 ANDOVER ST,NORTH ANDOVER,018455036,6,1160950.48,39170,32,1,YES,"ELISABETH WINTERKORN | CHRISTINA CONNELLY | MARJORIE BURTON | DANIEL SUMMERS | CHILDREN'S MEDICAL OFFICE OF NORTH ANDOVER, PC dba <UNAVAIL> | ELANA POULTER",GAIL ANSEL
881,222 MILLIKEN BLVD,FALL RIVER,027211623,3,1145532.07,19343,27,1,YES,ANTONIO DE MELO | ANITA JONES | SHANTI DENTAL PC,GOBICHETTYPALAYAM SRIKANTH
882,68B ROUTE 6A,SANDWICH,025631864,8,1144157.74,49990,33,1,YES,KATHRYN RUDMAN | BRIARPATCH PEDIATRICS | MIEKE ACKELL | ELIZABETH MCCARTHY | VANESSA RALLIS | KATELYN COTTER | LILY SYLVIA | KYLE MARIE BERES,LEIF NORENBERG
883,599 CANAL ST FL 6E,LAWRENCE,018401244,2,1142608.25,12322,7,1,YES,"MATHEW KIIO | AMERICARE BEHAVIORAL HEALTH, LLC",MATHEW KIIO
884,11 NORTH ST,STONEHAM,021801040,2,1129751.42,3237,10,2,,"BEAR HILL NURSING CENTER ,INC | BEAR HILL HEALTHCARE LLC",YISROEL MOSKOWITZ | WILLIAM RING
885,164 DEAN STREET,TAUNTON,02780,3,1125386.79,32373,18,2,,BARTEL DENTAL CENTER | DAKSH BHATT | RIVERA DENTAL PLLC,JAYSON RIVERA | DANIEL BARTEL
886,22 PARKRIDGE RD UNIT D,HAVERHILL,018357278,2,1120438.53,14783,2,1,YES,CAREER RESOURCES CORP | CAREER RESOURCES CORP,BRADLEY HOWELL
887,485 ARSENAL ST,WATERTOWN,024725091,13,1120023.37,15166,32,1,YES,"JAHANSOUZ SHOKRI | MARIANNE KHOURY | KATHLEEN MITCHELL | DANIEL SLATER | LISA THAYER | JOO KIM | ANDREA FORDE | SUBBULUXMI NATARAJAN | ATRIUS HEALTH, INC. dba <UNAVAIL> | BRIANNE MAHONEY | EHSAN AZIMI | ALLISON DAVIDSON | MELISSA DRAVES",STEVE STRONGWATER
888,125 NEWBURY ST,FRAMINGHAM,017014592,7,1117470.14,44698,35,1,YES,"ANDREW BAUMEL | RICHARD GARBER | NANCY ROSSELOT | MARGARET CRAWFORD | JAMES WHITMAN | ROBIN HICKS | FRAMINGHAM PEDIATRICS, PC",DONNA SANDELLO
889,133 W MAIN ST,SPENCER,015622623,2,1113915.36,11482,6,1,YES,"EMILY MOCERINO | CHOICE PHYSICAL THERAPY, LLC",GRANT PATTEE
890,105 ERDMAN WAY,LEOMINSTER,014531805,5,1109070.55,11757,17,3,,"MANUCHER FARDI | CENTRAL MASSACHUSETTS AMBULATORY ENDOSCOPY CENTER LLC | NORTH WORCESTER GASTROENTEROLOGY, P.C. | CENTER FOR DIGESTIVE WELLNESS PC | AMIN SOLTANI",ELLIOT FEINBERG | WANKIN YU | JEFFREY SNODGRASS
891,516 WESTGATE DR,BROCKTON,023011816,3,1108754.77,40394,10,2,,JAMES A LUCCIO AND ASSOCIATES INC | P.J.SEE INC. dba <UNAVAIL> | PAMELA CARROLL,JAMES LUCCIO | PAMELA CARROLL
892,1030 MAIN ST,WALTHAM,024517447,5,1107831.55,24062,25,1,YES,"KRISTINA ORIO | REBECCA KANO | ELIZABETH KIRSTEIN | EKATERINA BRODSKI-QUIGLEY | PATRIOT URGENT CARE PROFESSIONALS, PC dba <UNAVAIL>",DAVID ADAMS
893,380 JOHN FITCH HWY,FITCHBURG,014204502,4,1107790.46,24824,17,1,YES,"CATHY TANG | URGENT CARE CENTERS OF CENTRAL MASSACHUSETTS, LLC dba <UNAVAIL> | MELYSSA PRICE | ANDREW NOSAL",MARCUS HAMPERS
894,20 ELM ST,PITTSFIELD,012016502,4,1102359.74,37162,17,1,YES,"CRAIG KIRBY | FAMILY PRACTICE ASSOCIATES R TAYLOR E HEYMAN & R LEE PTRS | JONATHAN GRENOBLE | BERKSHIRE FAMILY PRACTICE ASSOCIATES , PC",JONATHAN GRENOBLE
895,10 ADAMS ST,NORTH CHELMSFORD,018631746,3,1100532.52,37335,37,1,YES,"CHELMSFORD FAMILY PRACTICE, PC | MEETA NGUYEN | CHAU LE",JEFFREY BYRNE
896,488 PLEASANT ST,WORCESTER,016091857,5,1099210.34,39406,23,3,,"MEDICAL CENTER WEST PODIATRY ASSOCIATES, INC. | NICHOLAS FEUCHT | NIKHIL SAINI | GIOLEKAS SPORTS AND FAMILY CHIROPRACTIC, INC. | EYES ON WORCESTER LLC",JONATHAN KETCHUM | ANGELO GIOLEKAS | NIKHIL SAINI
897,9 CENTRAL STREET,LOWELL,01852,2,1099120.86,27436,6,1,YES,HEALTH INDEPENDENT PROVIDERS INC | MIGUEL VERDAGUER,MIGUEL VERDAGUER
898,159 PLEASANT ST,ATTLEBORO,027032442,9,1089074.84,43483,51,2,,STURDY HEALTH INC dba <UNAVAIL> | RAYMOND PETIT | STURDY HEALTH INC dba <UNAVAIL> | ERIK WATSON | JENNIFER THOMSON | BRENDA COLVIN | DENNIS BERARD | NARMADA MOVVA | STEPHANIE CARLEZON,AMY PFEFFER | LINDA SHYAVITZ
899,99 CONIFER HILL DR,DANVERS,019231193,11,1085810.10,18814,29,0,,MICHAEL YOON | JILL SAMALE | MARK ALLARA | DANA MANN | MEGHAN TRAMONTOZZI | PAULINE MATHEWSON | MATTHEW PLOSKER | GERARD DALY | SAMANTHA DIBELLA | JANAE BOURKE | SUZANNE CINELLI,
900,10 N MAIN ST,FALL RIVER,027202130,5,1084758.98,10567,5,1,YES,RITA A MARTIN INC | DAVID VIEGAS | SHANNON REYNOLDS | LANE BRIGGS | CHRISTINE POWERS,RITA MARTIN
901,125 PARKER HILL AVE,ROXBURY CROSSING,021202847,7,1084260.07,40865,75,4,,"NEW ENGLAND BAPTIST HOSPITAL | NEB RADIOLOGY PC | NEW ENGLAND BAPTIST MEDICAL ASSOCIATES, INC. | JIHAD HAYEK | CHARLES DOW | HATEM MAHGOUB | NEW ENGLAND BAPTIST HOSPITAL",THOMAS GHERINGHELLI | DAMON SPITZ | YVEDA CHANEL | DAVID PASSAFARO
902,490 LINCOLN ST,WORCESTER,016051920,3,1082626.19,31060,20,1,YES,PEARLA DENTAL LLC | NIDHI HANDA | PING ZHANG,ALEEM ZAKARIA
903,142 EXCHANGE ST,MILLIS,020541212,2,1080548.84,9599,7,0,,MATHIEU BERMINGHAM | FERD WILDER,
904,30 KNEELAND ST,BOSTON,021111505,2,1076697.08,30057,13,1,YES,"DINH TRAN | YUHENG RUAN, MD, LLC",YUHENG RUAN
905,700 ATTUCKS LN,HYANNIS,026011809,5,1075149.99,6775,14,2,,JAY YAMIN | WILLIAM J MANNING JR MD PC | MAMDOUH RIAD | CAPE AND ISLANDS ENDOSCOPY CENTER LLC | GI CLINIC PC,ALEXANDRE NADER | WILLIAM MANNING
906,55 HIGHLAND AVE,SALEM,019702100,3,1073669.93,22372,18,1,YES,"NORTH SHORE EAR, NOSE & THROAT ASSOCIATES, PC | RICHARD EISNER | DENNIS SUMAN",CHARLES LEIDNER
907,79 ERDMAN WAY,LEOMINSTER,01453,6,1073648.74,25367,10,1,YES,"DAVID RIESTER | JORDAN SCOTT | ERICA DEE | FRANCISCO BONILLA | NORTHEAST ALLERGY ASTHMA & IMMUNOLOGY, PC | KALEIGH O'NEIL",JORDAN SCOTT
908,960 MORRISSEY BLVD,DORCHESTER,021223206,2,1071450.31,79002,8,1,YES,"ELLIOTT PHYSICAL THERAPY, INC. | SENECA SPARGO",DARRYL ELLIOTT
909,130 NORTH ST,HYANNIS,026013825,2,1071030.37,39055,28,1,YES,CAPE COD ORTHOPEDICS AND SPORTS MEDICINE PC | MARK BOARDMAN,JOHN WILLIS
910,114R HIGHLAND AVE,SALEM,019702723,8,1067780.07,26913,8,1,YES,JAMES MACLEAN | EYAL OREN | ANDREW OBER | CRISTINA MAZZONI PALUMBO | JEANNE GOSE | ASTHMA & ALLERGY AFFILIATES INC | DIANA BALEKIAN | MICHELLE MACIAG,KIMBERLY KILCOMMONS
911,200 NICKERSON RD STE 110,MARLBOROUGH,017524641,2,1065572.13,4592,7,2,,"BEACON HOSPICE, LLC dba <UNAVAIL> | TENDER LOVING CARE HEALTH CARE SERVICES OF NEW ENGLAND, L.L.C. dba <UNAVAIL>",TRAVIS MIGLICCO | PAUL KUSSEROW
912,320 BOLTON ST,MARLBOROUGH,017523980,4,1065400.14,38384,43,2,,CLIFFORD RISK | EXCEL PHYSICAL THERAPY & REHABILITATION LLC | CHRISTINE GRABENSTATTER | BOLTON STREET PEDIATRICS PC,ODETTE SOLLA CABRERA | ANUPA JACOB
913,709 WASHINGTON ST,CANTON,020213037,5,1065022.41,26388,16,1,YES,"RACHAEL MARCANTONIO | TIMOTHY LOWNEY | FAMILY MEDICAL ASSOCIATES, P.C. | SEAN HALEY | TIMOTHY LOWNEY",TIMOTHY LOWNEY
914,172 SPRING ST,WEST ROXBURY,021325020,2,1062345.22,11525,18,2,,HAZEM F WEHBE PC dba <UNAVAIL> | DOCTORS OF WEST ROXBURY LLC,LINA BADAWI | HAZEM WEHBE
915,20 CEDAR ST,WORCESTER,016092520,4,1058419.68,15021,9,1,YES,"CHILDREN'S FRIEND, INC. | LISA STOREY | MELISSA ANGELINI | KATHERINE NYREN",KAREN LUDINGTON
916,100 CUMMINGS CTR STE 135C,BEVERLY,019156263,2,1056716.82,7235,5,1,YES,ASPIRE LEARNING CENTER LLC | NINA RUSSELL,TIFFANEY FRONGILLO
917,275 BICENTENNIAL HWY STE 101,SPRINGFIELD,011181965,4,1056268.94,28773,14,2,,"CHRISTOPHER SYMOLON | STEVEN T. BERGER MD PC dba <UNAVAIL> | STEVEN BERGER | COMMONWEALTH EYECARE PROFESSIONALS, LLC",JOSEPH BOUVIER | STEVEN BERGER
918,201 S MAIN ST,ATHOL,013312117,2,1053885.71,42215,30,1,YES,"TIMOTHY SOULE-REGINE | NORTH QUABBIN FAMILY PHYSICIANS, PC",TIMOTHY SOULE-REGINE
919,281 SHREWSBURY ST,WORCESTER,016044623,2,1050881.36,14516,19,2,,WAVE DENTAL PLLC | AAH DENTAL PLLC,AMIT MEHRA | ASMA HAMEED
920,84 STATE ST,BOSTON,021092202,2,1048317.64,133902,20,2,,"MEDOPTIONS OF MASSACHUSETTS LLC | MEDITELECARE OF MASSACHUSETTS, PLLC",DONNA DOOLEY | ANDREA GODFREY
921,22 PLEASANT ST,WEST BRIDGEWATER,023791506,4,1043655.29,40257,46,3,,SHERIF ALGENDY | PLEASANT HILL PEDIATRICS | BAY STATE PAIN ASSOCIATES PC | CYNTHIA A. VELLA N.P. LLC dba <UNAVAIL>,CYNTHIA VELLA | EDA MORALES | SHERIF ALGENDY
922,25 ORIOL DR,WORCESTER,016051911,3,1042346.25,15516,21,3,,"WORCESTER HEALTH CENTER, LLC dba <UNAVAIL> | VERO HEALTH XVI, LLC dba <UNAVAIL> | OC AZURE OF WORCESTER CENTER LLC",ELIYAHU MIRLIS | EAMONN REILLY | AVI LIPSHUTZ
923,1020 PLEASANT STREET,BROCKTON,023015055,2,1040640.55,50925,33,1,YES,BAHIGE ASAKER | BAHIGE ASAKAR,BAHIGE ASAKER
924,30 EASTBROOK RD STE 101,DEDHAM,020262083,3,1034281.95,9364,2,1,YES,LATASHA SARPY | THADDIEUS SARPY | GENNEW,THADDIEUS SARPY
925,210 ANDOVER ST,PEABODY,01960,6,1032967.56,13005,31,3,,"KAREN NECKERS | KAREN NECKERS OD | DR. SHAHRAM NAVID D.M.D., PC dba <UNAVAIL> | JULIAN PERTI | CONVENIENTMD LLC | CONVENIENTMD - FFS UC LLC",KAREN NECKERS | SHAHRAM NAVID | JAROD BOISSONNEAULT
926,214 MAIN ST,KINGSTON,023641928,2,1032001.64,14554,28,0,,PETER MCIVER | THOMAS CODY,
927,370 MAIN ST STE 910,WORCESTER,016081723,2,1031532.17,11012,3,1,YES,AUGUSTUS SEALY | SEALY MENTAL HEALTH COUNSELING SERVICE INC. dba <UNAVAIL>,AUGUSTUS SEALY
928,433 W MAIN ST,HYANNIS,026013644,5,1022766.96,24934,35,2,,"ARTHUR CRAGO | NATHANIEL CLARK | EMERALD PHYSICIAN SERVICES, LLC | CARRIE SULLIVAN | GREATER BOSTON ALLERGY ASTHMA SINUS & IMMUNOLOGY CENTERS, P.C. dba <UNAVAIL>",JOHN JOHNSON | MICHAEL CONNORS
929,527 ALBANY ST STE 200,BOSTON,021182511,2,1021620.24,20109,45,1,YES,ROBYN RISEBERG | BOSTON COMMUNITY PEDIATRICS INC,ROBYN RISEBERG
930,2110 DORCHESTER AVE STE 203,DORCHESTER,02124,2,1019764.64,35711,15,1,YES,"KI-HYUK YOO | YOO FOOT AND ANKLE PODIATRY, LLC.",KI-HYUK YOO
931,272 STANLEY ST,FALL RIVER,027206009,3,1019397.67,16128,21,1,YES,"HENRY CROWLEY | SAME DAY SURGICARE OF NEW ENGLAND, INC. dba <UNAVAIL> | SURGICENTER ANESTHESIA ASSOCIATES, LLC",STEVEN PIMENTAL
932,140 UNION ST,LYNN,01901,3,1018861.84,32709,24,2,,"ADULTS & CHILDREN DENTAL CARE | CLIENT CARE SOLUTIONS, INC. | DANIEL LEE",ALEX YUFA | STANISLAV TOKAREV
933,10 ERLIN TERRACE,TEWKSBURY,018762666,2,1010466.19,13688,4,1,YES,ERLIN MANOR NURSING HOME INC dba <UNAVAIL> | GUARDIAN ADULT DAY CARE INC dba <UNAVAIL>,DEBORAH KLOCK
934,3 VILLAGE GRN N,PLYMOUTH,023608803,2,1005566.06,23573,25,0,,VIRNALIZA CASSIDY | MICHAEL LIGHT,
935,855 WORCESTER RD,FRAMINGHAM,01701,3,1004866.62,17155,11,2,,"ANNIE CHEMMANUR | NEW ENGLAND CONSULTANTS IN GASTROENTEROLOGY AND HEPATOLOGY PC | FRAMINGHAM VEIN CLINIC, LLC",KHALID AZIZ | YAN KATSNELSON
936,930 COMMONWEALTH AVE,BOSTON,02215,5,1003219.38,28602,19,1,YES,NEW ENGLAND EYE INSTITUTE INC. dba <UNAVAIL> | RAWIA ALKHUNAIZI | TIMOTHY BOSSIE | LAUREN SCOTT | EMILY WIECEK,TIMOTHY BOSSIE
937,220 RESERVOIR ST STE 21,NEEDHAM,024943133,9,1002936.58,11090,8,0,,SUSAN WALTERS | STEPHANIE COHEN | SHARON CURTIN | KAITLIN GAFFNEY | DANA SNYDER | KOMAL KENKARE | BRYCELYN ROUX | ROBERT NORMANDIN | MARCIA WEISSMANN,
938,694 WORCESTER ST,WELLESLEY,024822837,2,1000006.85,1052,7,2,,"VK WELLESLEY, LLC | ADVINIACARE NEWTON WELLESLEY LLC",CATERINA LABELLA | BARRY BOKOW
939,110 CEDAR ST,WELLESLEY,024813527,3,994721.64,5701,15,1,YES,KENNETH GORSON | MARIELA VARGAS | THE ELLIOT LEWIS CENTER FOR MULTIPLE SCLEROSIS CARE LLC,MARISSA SHACKLETON
940,52 BRIGHAM ST,NEW BEDFORD,027402210,3,989246.32,15719,2,0,,WAYNE TESSIER | MARK SAVINO | KENNETH JEFFERY,
941,575 BOYLSTON ST,BOSTON,02116,2,985019.97,10669,13,1,YES,JENNIFER SMITH WILLIAMS | PATRIOT URGENT CARE PROFESSIONALS PC dba <UNAVAIL>,DAVID ADAMS
942,189 MAIN ST,MILFORD,017572627,2,984939.81,5488,7,2,,MILFORD ORTHODONTIC ASSOCIATES | BEACON FAMILY CHIROPRACTIC,PATRICK ASSIOUN | LAURA GREGOR-HODNE
943,55 MAIN ST STE 1,FRAMINGHAM,017022934,2,982042.16,5063,7,2,,FRAMIGHAM ORTHODONTICS PC | SIMPLY ORTHODONTICS FRAMINGHAM PLLC,KAMAR BALOUL | HOUSSAM ALKHOURY
944,44 CENTER STREET,NORTH EASTON,023560074,2,978085.91,25676,14,1,YES,"DONALD PROHOVICH | DONALD P. PROHOVICH, DDS, PC",DOLLY PROHOVICH
945,444 MONTGOMERY ST,CHICOPEE,010201969,23,974425.15,12707,52,1,YES,KAREN CONWAY | ROLF GERCHBERG | HYUN-YOUNG PARK | ALAN BURSTEIN | ZHONGMO YU | ANNE SHAIN | THOMAS GARTMAN | ANTONE CRUZ | LYDIA SARRO | SARA MULLAN | STEVEN SAMUELS | JAMES SCHUMACHER | BRIAN TOOLE | JAMES KATZ | CAROLYN BROOKS | PATRICK BARNETT | CELESTE ENRIQUEZ | MARC STARER | FILIPE SOBRAL | ALFREDO DE LA GUARDIA | JESSICA ZINA-DUARTE | KAROLINA OGRODNIK | WESTERN MASSACHUSETTS MAGNETIC RESONANCE SERVICES LLC,TONI COOPER
946,1261 FURNACE BROOK PKWY,QUINCY,021694721,10,971127.07,19686,32,4,,"ASSOCIATED EYE PHYSICIANS & SURGEONS INC | JOHN PASCIUCCO | ALEXANDRA ACCARDI | ELLEN SAMPSON | DESRY SKERRETT-PARKER | STEMMER PEDIATRICS PC | EXCELL FAMILY DENTAL, PC | MEGHAN MCEVOY | MARC MINGEL | ZUHAYR HEMADY MD PC",GARY BORODIC | JOEL STEMMER-FRYDMAN | HEIDI HUANG | ZUHAYR HEMADY
947,1125 TREMONT ST,ROXBURY CROSSING,021202178,3,969645.47,8981,22,0,,MICHELLE JOHNSON | CHRISTINE PAJARILLO | LAURA HOLLAND,
948,425 REVERE ST,REVERE,021514543,2,969264.66,17497,8,0,,RICHARD AUBRY | YVONNE SMIKLE,
949,6 STRATHMORE RD,NATICK,017602419,7,959811.23,7487,6,1,YES,RCS BEHAVIORAL AND EDUCATIONAL CONSULTING | ARIANE MAZUR | MEGAN BREAULT | HILLARY JOYCE | SARAH BARNATCHEZ | EMILY MERCIER | SHAWN BRYANT,JENNIFER RUTLAND
950,126A PLEASANT VALLEY ST,METHUEN,018447217,2,959302.56,20842,17,1,YES,"MERRIMACK DENTAL ASSOC., PC | ZHI SUN",KINAN KANBAR
951,478 TORREY ST,BROCKTON,023014696,3,952278.56,16179,16,3,,"DR. KAREN MARTIN-PHILLIPS, DMD,PC | FOR ALL AGES DENTAL ASSOCIATES dba <UNAVAIL> | URBAN HOME HEALTH SERVICES INC",JENIEVE PAUL | ESTHER ONOCHIE | KAREN MARTIN-PHILLIPS
952,599 CANAL ST SUITE 1,LAWRENCE,018401866,2,947757.57,11731,9,1,YES,YAKAIRA RIGUEIRO | INTEGRITY MEDICAL TRANSPORTATION CORP.,CIPRIANO VARGAS
953,383 MAIN ST,WORCESTER,016081710,2,947074.69,27913,9,0,,THOMAS SOBOLEWSKI | JUNGLING WANG,
954,171 WATERTOWN ST,WATERTOWN,024722571,3,945192.09,16237,22,3,,COMFORT DENTAL OF WATERTOWN LLC dba <UNAVAIL> | AMERICAN DENTAL OF WATERTOWN | MY DENTAL WATERTOWN,SHAHRAM MOGHADDAM | SAIF NAJI | SRINIVAS DESANEEDI
955,101 MAIN ST,MEDFORD,021554540,11,940323.66,34773,40,3,,PEDIATRIC ASSOCIATES OF MEDFORD | DONALD DELOLLIS | RITA DELOLLIS | SHARI LECKER | KIMBERLY COSTA | JEANNE CLIFFORD | MARIE ANGELI ADAMCZYK | JASON M GILBERT MD PC | JOSEPH MURANO | LAURA CARMAN | YAVNER DENTAL ASSOCIATES,LISA D | JASON GILBERT | SUSAN YAVNER
956,439 BROADWAY,EVERETT,021493612,2,938497.00,23011,18,2,,CITY DENTAL LLC | GLOBAL DENTAL P.C,CIELITO AYALA | VENU KALLAM
957,131 MERRIMACK ST,LOWELL,018521723,2,937372.66,10763,19,2,,UNITED DENTAL INC | AVETISYAN DMD PC,TIGRAN AVETISYAN | SANG LEE
958,323 FRENCH ST,FALL RIVER,027205441,2,935320.99,3386,3,2,,IGNITE RECOVERY | OPTIMUS HEALTH AND WELLNESS INC,KERRY TAVEIRA | LAURA GOODE
959,111 EVERETT AVE,CHELSEA,021502385,3,931477.07,30886,20,2,,DAVID EISENBERG | DAVID E EISENBERG MD PC | BOSTON ORTHOPAEDIC PC,WILLIAM MULROY | DAVID EISENBERG
960,801 MASSACHUSETTS AVE,BOSTON,021182605,9,930032.53,17443,33,0,,TIMOTHY NAIMI | ROBERT MARLIN | HUNG DO | VASUDEV MANDYAM | SARAH CANALE | MONA ROBERTS | EMILY CROSS | NANCY CURRAN | BRITTANY CARNEY,
961,55 LAKE ST,GARDNER,014403876,3,927662.69,11334,3,0,,ROBERT BROWN | SUZANNE CARON | NICHOLAS KILLICK,
962,337 SOMERVILLE AVE,SOMERVILLE,021432914,6,927321.33,24430,17,0,,KIRSTEN MEISINGER | BRIAN HERRICK | RACHEL VOGEL | AMY SMITH | MICHAEL THACKREY | JULIANE LIBERUS,
963,200 CENTER ST,LUDLOW,010562772,2,926341.04,39919,41,1,YES,"GINO MERCADANTE | DR. GINO MERCADANTE, P.C.",KIMBERLY WILSON
964,86 TAUNTON ST,PLAINVILLE,027622131,2,924363.02,15368,16,2,,CONVENIENTMD LLC | CONVENIENTMD - FFS UC LLC,GARETH DICKENS | JAROD BOISSONNEAULT
965,40 DAVIS STRAITS,FALMOUTH,025403906,3,922459.33,17685,23,2,,DENISE BISHOP | CONVENIENTMD LLC | CONVENIENTMD - FFS UC LLC,GARETH DICKENS | JAROD BOISSONNEAULT
