PRIORITY,ADDRESS,CITY,ZIP,TOTAL MEDICAID $,NUM ENTITIES,WHY FLAGGED,ENTITY 1,ENTITY 1 $,PERSON IN CHARGE,PHONE,ENTITY 2,ENTITY 2 $,PERSON IN CHARGE,PHONE,ENTITY 3,ENTITY 3 $,PERSON IN CHARGE,PHONE,ALL ENTITIES,ALL PERSONS
P3 - MEDIUM-HIGH,123 CAPTAINS ROW,CHELSEA,2150,6135681,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: G0299 | ONE PERSON RUNS ALL,"CHELSEA JEWISH COMMUNITY, INC.",5819349,ADAM BERMAN (PRESIDENT),(617) 889-0811,"CHELSEA JEWISH COMMUNITY, INC.",316332,ADAM BERMAN (PRESIDENT),(617) 889-0779,,0,,,"CHELSEA JEWISH COMMUNITY, INC. /// CHELSEA JEWISH COMMUNITY, INC.",ADAM BERMAN
P3 - MEDIUM-HIGH,465 WALNUT ST,FALL RIVER,2720,6090234,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 99213 | ONE PERSON RUNS ALL,TURAL PEDIATRICS,6086534,ALI TURAL (PRESIDENT),(508) 674-8348,ALI TURAL,3699,,(508) 674-8348,,0,,,TURAL PEDIATRICS /// ALI TURAL,ALI TURAL
P3 - MEDIUM-HIGH,262 NEW LUDLOW RD,CHICOPEE,1020,5686786,3,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 99213 | ONE PERSON RUNS ALL,WESTERN MASS PHYSICIAN ASSOCIATES INC,5679582,PHILLIP CANDITO (VP OF AMBULATORY SERVICES),(413) 534-2622,ASMA KAREEM,5507,,(413) 552-3250,ANNABEL LEE ESPINAS,1697,,(413) 552-3250,WESTERN MASS PHYSICIAN ASSOCIATES INC /// ASMA KAREEM /// ANNABEL LEE ESPINAS,PHILLIP CANDITO
P3 - MEDIUM-HIGH,116 SUMMER ST,HAVERHILL,1830,5522170,3,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90834, 90837 | ONE PERSON RUNS ALL","HRI CLINICS, INC.",5271675,CHRISTINE ASACK (CREDENTIALING COORDINATOR),(781) 871-6550,EDWIN PAUKERT,130714,,(781) 871-6550,FRANCINE EISENMAN,119781,,(978) 521-2955,"HRI CLINICS, INC. /// EDWIN PAUKERT /// FRANCINE EISENMAN",CHRISTINE ASACK
P3 - MEDIUM-HIGH,45 FRANKLIN ST FL 1,BOSTON,2110,5065481,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: V5011, V5266, V5267 | ONE PERSON RUNS ALL","TOBIAS & BATTITE, INC",5033753,BRIAN FLIGOR (OWNER),(617) 426-2226,BRIAN FLIGOR,31727,,(617) 426-2226,,0,,,"TOBIAS & BATTITE, INC /// BRIAN FLIGOR",BRIAN FLIGOR
P3 - MEDIUM-HIGH,10 CHESTNUT STREET,NEEDHAM,2492,5018095,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90834, 90837, 90882 | ONE PERSON RUNS ALL",MARON DGA PC,4879681,ROBERT MARON (DIRECTOR PRESIDENT),(781) 449-1143,ROBERT MARON,138414,,(781) 449-1143,,0,,,MARON DGA PC /// ROBERT MARON,ROBERT MARON
P3 - MEDIUM-HIGH,453 SUMNER AVE,SPRINGFIELD,1108,4839445,3,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 92004, 92014, 92015, G9902, G9905 | ONE PERSON RUNS ALL",FOREST PARK EYE CARE PC,3685732,BRITT ADORNATO (PRESIDENT),(413) 733-5155,TRACY HARADON,618810,,(413) 733-5155,BRITT ADORNATO,534902,,(413) 733-5155,FOREST PARK EYE CARE PC /// TRACY HARADON /// BRITT ADORNATO,BRITT ADORNATO
P3 - MEDIUM-HIGH,430 COOLEY ST,SPRINGFIELD,1128,4819231,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 81025, 87426, 87811, 99203, 99204 | ONE PERSON RUNS ALL","MEDEXPRESS URGENT CARE, PC - MASSACHUSETTS",4717180,JOY KIMBALL (CONTRACT MANAGER),(413) 820-3209,"MEDEXPRESS URGENT CARE, PC - MASSACHUSETTS",102050,JOY KIMBALL (CONTRACT MANAGER),(413) 782-0320,,0,,,"MEDEXPRESS URGENT CARE, PC - MASSACHUSETTS /// MEDEXPRESS URGENT CARE, PC - MASSACHUSETTS",JOY KIMBALL
P3 - MEDIUM-HIGH,45 OAK AVE,WORCESTER,1605,4711956,5,"SAME PERSON CONTROLS ALL ENTITIES | 5 ENTITIES AT ONE ADDRESS | OVER $1M BILLED | BILLING SAME CODES: 87880, 90460, 96110, 99213 | ONE PERSON RUNS ALL",IAN A. HARDING MD PC,4673165,IAN HARDING (PEDIATRICIAN),(508) 756-2020,ROSA RINCON - RIVERO,12209,,(508) 756-2020,NICHOLAS PACELLA,9934,,(508) 756-2020,IAN A. HARDING MD PC /// ROSA RINCON - RIVERO /// NICHOLAS PACELLA /// IAN HARDING /// JULIA FEUDO,IAN HARDING
P3 - MEDIUM-HIGH,270 CONCORD ST STE 1,FRAMINGHAM,1702,4661375,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D0140, D0150, D0220, D1110, D1208 | ONE PERSON RUNS ALL",JNL DENTAL ONE PC,4657099,JI HYUN LEE (CO-OWNER),(508) 872-7700,JI HYUN LEE,4276,,(508) 872-7700,,0,,,JNL DENTAL ONE PC /// JI HYUN LEE,JI HYUN LEE
P3 - MEDIUM-HIGH,488 ESSEX ST,LAWRENCE,1840,4609152,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D0120 | ONE PERSON RUNS ALL,"DB PRACTICE MANAGEMENT, INC",4608527,DARIO GONZALEZ (VICE PRESIDENT/PERIODONTIST),(978) 975-8888,ILENE EA,625,,(978) 975-8888,,0,,,"DB PRACTICE MANAGEMENT, INC /// ILENE EA",DARIO GONZALEZ
P3 - MEDIUM-HIGH,65 LIBBY ST,BROCKTON,2302,4584750,5,SAME PERSON CONTROLS ALL ENTITIES | 5 ENTITIES AT ONE ADDRESS | OVER $1M BILLED | BILLING SAME CODES: 99213 | ONE PERSON RUNS ALL,BROCKTON PEDIATRICS,4560781,YARA FERNANDEZ (MD),(508) 584-6060,JEREMY SLOSBERG,14412,,(508) 584-6060,BRITT PENA,4251,,(508) 584-6060,BROCKTON PEDIATRICS /// JEREMY SLOSBERG /// BRITT PENA /// OLUYINKA RENO /// HOWARD KAY,YARA FERNANDEZ
P3 - MEDIUM-HIGH,73 PRINCETON ST STE 307,NORTH CHELMSFORD,1863,4530246,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: H2019 | ONE PERSON RUNS ALL,TRAUMA AND FAMILY INTEGRATION,4484332,SAMUEL ALEMAYHEU (ADMINISTRATOR/CLINICAL DIRECTOR),(978) 677-7823,SAMUEL ALEMAYHEU,45914,,(978) 677-7823,,0,,,TRAUMA AND FAMILY INTEGRATION /// SAMUEL ALEMAYHEU,SAMUEL ALEMAYHEU
P3 - MEDIUM-HIGH,237 STATION AVE,SOUTH YARMOUTH,2664,4518120,6,"SAME PERSON CONTROLS ALL ENTITIES | 6 ENTITIES AT ONE ADDRESS | OVER $1M BILLED | BILLING SAME CODES: 90460, 99213, S0302 | ONE PERSON RUNS ALL",BASS RIVER PEDIATRIC ASSOCIATES,4471933,KENNETH COLMER (MD),(508) 394-2116,MATHEW BALDASARO,17424,,(508) 394-2116,PAUL MARZ,10187,,(508) 394-2116,BASS RIVER PEDIATRIC ASSOCIATES /// MATHEW BALDASARO /// PAUL MARZ /// KENNETH COLMER /// LORRAINE ZITO /// KARIN GILBERT,KENNETH COLMER
P3 - MEDIUM-HIGH,1073 RIVERDALE ST,WEST SPRINGFIELD,1089,4357605,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D0140, D0150, D0272, D0274, D1120 | ONE PERSON RUNS ALL",SMILE LINE PC,4342393,VIJAY GADDAM (OWNER),(413) 285-7114,VIVEK ARORA,15212,,(413) 285-7114,,0,,,SMILE LINE PC /// VIVEK ARORA,VIJAY GADDAM
P3 - MEDIUM-HIGH,230 RHODE ISLAND AVE,FALL RIVER,2724,4333081,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D0140, D0150, D0274, D1110, D1120 | ONE PERSON RUNS ALL","ALPHA DENTAL CENTER OF FALL RIVER, LLC",4278569,MUNAL SALEM (DENTIST/OWNER),(508) 646-9600,BHANU LAMBA,54511,,(508) 646-9600,,0,,,"ALPHA DENTAL CENTER OF FALL RIVER, LLC /// BHANU LAMBA",MUNAL SALEM
P3 - MEDIUM-HIGH,262 SOUTH ST,PITTSFIELD,1201,4142577,3,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D8670 | ONE PERSON RUNS ALL,DR. WILLIAM C.O'DONNELL DMD PC,2706155,THERESA JEROME (RECEPTIONIST),(413) 443-0703,DR. WILLIAM C. O'DONNELL DMD,1426910,THERESA JEROME (RECEPTIONIST),(413) 443-0703,WILLIAM ODONNELL,9512,,(413) 443-0703,DR. WILLIAM C.O'DONNELL DMD PC /// DR. WILLIAM C. O'DONNELL DMD /// WILLIAM ODONNELL,THERESA JEROME
P3 - MEDIUM-HIGH,42 HILLER RD,ROCHESTER,2770,4125068,3,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90791, 90834, 90847, 90882, 90887 | ONE PERSON RUNS ALL",GRETCHEN SULLIVAN,2340061,,(508) 763-5896,WELLSPRING FARM LLC,1294664,JAMES VOGEL (FOUNDER EXECUTIVE DIRECTOR),(508) 763-5896,RACHAEL LEBLANC,490343,,(508) 763-5896,GRETCHEN SULLIVAN /// WELLSPRING FARM LLC /// RACHAEL LEBLANC,JAMES VOGEL
P3 - MEDIUM-HIGH,73 RUSSELL RD,HUNTINGTON,1050,4063067,3,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: T1015 | ONE PERSON RUNS ALL,"HILLTOWN COMMUNITY HEALTH CENTERS, INC.",4046961,ELIZA LAKE (EXECUTIVE DIRECTOR),(413) 667-3009,SHERI CHEUNG,13999,,(413) 667-3009,MICHAEL PURDY,2107,,(413) 667-3009,"HILLTOWN COMMUNITY HEALTH CENTERS, INC. /// SHERI CHEUNG /// MICHAEL PURDY",ELIZA LAKE
P3 - MEDIUM-HIGH,237 MILLBURY ST,WORCESTER,1610,3993657,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: H2015 | ONE PERSON RUNS ALL,"PERNET FAMILY HEALTH SERVICE, INC.",3791259,SHEILAH DOOLEY (EXECUTIVE DIRECTOR),(508) 755-1228,JODY MAHER,202397,,(508) 755-1228,,0,,,"PERNET FAMILY HEALTH SERVICE, INC. /// JODY MAHER",SHEILAH DOOLEY
P3 - MEDIUM-HIGH,69 MAIN ST,FAIRHAVEN,2719,3965670,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 97153, 97154, 97155, H0031 | ONE PERSON RUNS ALL","POSITIVE BEHAVIORAL SOLUTIONS, LLC",3128500,SINEAD PETERSEN (EXECUTIVE DIRECTOR),(508) 997-1311,HANNAH RYDER,837171,,(508) 997-1311,,0,,,"POSITIVE BEHAVIORAL SOLUTIONS, LLC /// HANNAH RYDER",SINEAD PETERSEN
P3 - MEDIUM-HIGH,30 AMARANTH PL,MEDFORD,2155,3817244,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D0190, D1206 | ONE PERSON RUNS ALL","DENTACARE, LLC",3815539,SHALINI LAHOTY (FOUNDER),(617) 230-4071,SHALINI LAHOTY,1705,,(617) 230-4071,,0,,,"DENTACARE, LLC /// SHALINI LAHOTY",SHALINI LAHOTY
P3 - MEDIUM-HIGH,250 MOUNT VERNON ST,DORCHESTER,2125,3627420,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D0120, D0220, D0230, D0274, D1110 | ONE PERSON RUNS ALL",HARBOR HEALTH SERVICES INC,3617133,CHARLES JONES (PRESIDENT & CEO),(617) 288-1140,NING ZHANG,10287,,(617) 288-1140,,0,,,HARBOR HEALTH SERVICES INC /// NING ZHANG,CHARLES JONES
P3 - MEDIUM-HIGH,370 OAK ST,BROCKTON,2301,3590091,3,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 87502, 90460, 96127, 99051, 99213 | ONE PERSON RUNS ALL",PEDIATRIC ASSOCIATES INC. OF BROCKTON,2934344,JOSEPH ASIAF (PRESIDENT),(508) 584-1234,NANCY CHAPIN,338682,,(508) 584-1234,DAVID CHUNG,317065,,(508) 584-1234,PEDIATRIC ASSOCIATES INC. OF BROCKTON /// NANCY CHAPIN /// DAVID CHUNG,JOSEPH ASIAF
P3 - MEDIUM-HIGH,180 DAGGETT DR,WEST SPRINGFIELD,1089,3566746,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 92014, 92083, 92134, 99204 | ONE PERSON RUNS ALL","LONGWOOD EYE, LLC",3522887,GWENN STINNETT (BILLING MANAGER),(413) 452-4111,CRIS MARTIN JACOBA,43859,,(413) 452-4111,,0,,,"LONGWOOD EYE, LLC /// CRIS MARTIN JACOBA",GWENN STINNETT
P3 - MEDIUM-HIGH,269 LOCUST ST,FLORENCE,1062,3551233,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 95004, 95115, 95117, 95165, 99213 | ONE PERSON RUNS ALL","ALLERGY AND IMMUNOLOGY ASSOCIATES OF NEW ENGLAND, LLC",3453814,JONATHAN BAYUK (MANAGING PARTNER),(413) 584-4010,FUAD MUDAWWAR,97419,,(413) 586-0769,,0,,,"ALLERGY AND IMMUNOLOGY ASSOCIATES OF NEW ENGLAND, LLC /// FUAD MUDAWWAR",JONATHAN BAYUK
P3 - MEDIUM-HIGH,160 MARKET STREET,LYNN,1901,3536799,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D0140, D0274, D1110, D2391, D2740 | ONE PERSON RUNS ALL",ALEGRE DENTAL CENTER,2116434,ANDREW SOKOLOV (PRACTICE MANAGER),(781) 593-1133,HEIDAR ZOHREHEI,1420365,,(781) 593-1133,,0,,,ALEGRE DENTAL CENTER /// HEIDAR ZOHREHEI,ANDREW SOKOLOV
P3 - MEDIUM-HIGH,15 CRAWFORD STREET,NEEDHAM,2494,3472241,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 88305, 88313, 88342 | ONE PERSON RUNS ALL","COHEN DERMATOPATHOLOGY, P.C.",3472241,JIAN XIE (MANAGER),(617) 969-4100,"COHEN DERMATOPATHOLOGY, P.C.",0,JIAN XIE (MANAGER),(617) 969-4100,,0,,,"COHEN DERMATOPATHOLOGY, P.C. /// COHEN DERMATOPATHOLOGY, P.C.",JIAN XIE
P3 - MEDIUM-HIGH,320 ESSEX ST,LAWRENCE,1840,3374720,4,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 99213 | ONE PERSON RUNS ALL,VK NEW ENGLAND MANAGEMENT LLC,3046579,ZOSER MOHAMED (CEO),(978) 655-5290,RAMON SUAREZ-MARTINEZ,322530,,(978) 655-5290,MAI MILAN,3596,,(978) 655-5290,VK NEW ENGLAND MANAGEMENT LLC /// RAMON SUAREZ-MARTINEZ /// MAI MILAN /// DAPHNEE DELATOUR,ZOSER MOHAMED
P3 - MEDIUM-HIGH,89 ACCESS RD,NORWOOD,2062,3289728,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90791, 90832 | ONE PERSON RUNS ALL","CHILD AND FAMILY PSYCHOLOGICAL SERVICES, PLLC",3286576,RYAN PARDO (CHIEF LEGAL OFFICER),(781) 551-0999,JEREMY DEVLIN,3152,,(781) 551-0999,,0,,,"CHILD AND FAMILY PSYCHOLOGICAL SERVICES, PLLC /// JEREMY DEVLIN",RYAN PARDO
P3 - MEDIUM-HIGH,222 FORBES RD STE 207,BRAINTREE,2184,3233419,4,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90837 | ONE PERSON RUNS ALL,EQUILIBRIA MENTAL HEALTH LLC,2293455,SABRINA ERICKSON (OWNER),(781) 990-5310,SABRINA ERICKSON,797773,,(857) 234-3789,JESSICA ROFFE,112896,,(781) 990-5310,EQUILIBRIA MENTAL HEALTH LLC /// SABRINA ERICKSON /// JESSICA ROFFE /// RACHEL STOUCK,SABRINA ERICKSON
P3 - MEDIUM-HIGH,770 TREMONT ST,BOSTON,2118,3155084,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D0120, D0220, D1110 | ONE PERSON RUNS ALL",MASS DENTAL ASSOCIATES,3118609,HUSAM AL-KHATEEB (OWNER),(617) 859-3939,HUSSAM AL-KHATEEB,36476,,(617) 859-3939,,0,,,MASS DENTAL ASSOCIATES /// HUSSAM AL-KHATEEB,HUSAM AL-KHATEEB
P3 - MEDIUM-HIGH,1238 RIVERDALE ST,WEST SPRINGFIELD,1089,3122918,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 0241U, 87428, 87811, 99203, 99204 | ONE PERSON RUNS ALL",HEALTH-MD URGENT CARE,2999500,ATIF KHAN (OWNER),(413) 504-3507,HALAH ALSARI,123417,,(413) 504-3507,,0,,,HEALTH-MD URGENT CARE /// HALAH ALSARI,ATIF KHAN
P3 - MEDIUM-HIGH,241 PARKINGWAY,QUINCY,2169,3103931,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 82310, 82565, 83540, 84100, 84132 | ONE PERSON RUNS ALL","BIO-MEDICAL APPLICATIONS OF MASSACHUSETTS, INC.",1942489,BARRY BLANTON (VICE PRESIDENT),(617) 847-1700,"FRESENIUS MEDICAL CARE QUINCY, LLC",1161442,BARRY BLANTON (VP),(617) 847-1700,,0,,,"BIO-MEDICAL APPLICATIONS OF MASSACHUSETTS, INC. /// FRESENIUS MEDICAL CARE QUINCY, LLC",BARRY BLANTON
P3 - MEDIUM-HIGH,605 LINCOLN ST,WORCESTER,1605,3093260,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 92004, 92014 | ONE PERSON RUNS ALL","EDWARD M. KENNEDY COMMUNITY HEALTH CENTER, INC",3087984,STEPHEN KERRIGAN (CEO/PRESIDENT),(800) 853-2288,SALEHA MUNIR,5276,,(508) 856-0104,,0,,,"EDWARD M. KENNEDY COMMUNITY HEALTH CENTER, INC /// SALEHA MUNIR",STEPHEN KERRIGAN
P3 - MEDIUM-HIGH,180 WATER ST,HAVERHILL,1830,3069656,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: S5100, S5102, T2003 | ONE PERSON RUNS ALL",SARAH'S PLACE ADULT DAY HEALTH CENTER,1562894,AMY ANWYL (EXECUTIVE DIRECTOR),(978) 374-2175,SARAH'S PLACE ADULT DAY HEALTH CENTER,1506762,AMY ANWYL (EXECUTIVE DIRECTOR),(978) 374-2175,,0,,,SARAH'S PLACE ADULT DAY HEALTH CENTER /// SARAH'S PLACE ADULT DAY HEALTH CENTER,AMY ANWYL
P3 - MEDIUM-HIGH,380 PLAINFIELD ST,SPRINGFIELD,1107,3047366,18,SAME PERSON CONTROLS ALL ENTITIES | 18 ENTITIES AT ONE ADDRESS | OVER $1M BILLED | BILLING SAME CODES: 99213 | ONE PERSON RUNS ALL,AUDREY GUHN,717446,,(413) 794-4458,TATIANA BENDIOUKOVA,620491,,(413) 794-4458,"COMMONWEALTH CLINICAL ALLIANCE, INC",247461,LOIS SIMON (CHIEF OPERATING OFFICER),(888) 255-4525,"AUDREY GUHN /// TATIANA BENDIOUKOVA /// COMMONWEALTH CLINICAL ALLIANCE, INC /// SHEILA CLEARY /// JAAI DESHPANDE /// HILDA RIVERA-RIVERA /// NORBERT GOLDFIELD /// JEFFREY SCAVRON /// ELIZABETH EAGLESON /// NORAYMAR TORRES-MUNIZ /// CARLOS FLORES /// GREGORY CAMPBELL /// TREVOR BELL /// THOMAS LINCOLN /// ELKA CLOKE /// SOMAIRA RAFIQ-YASIN /// KATHERINE GERSTLE /// NANCY KLOCZKO",LOIS SIMON
P3 - MEDIUM-HIGH,441 CHATHAM ST,LYNN,1902,3032019,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D7140 | ONE PERSON RUNS ALL,THE BRACES PLACE OF LAWRENCE,2200171,JULIANA MASIELLO (CORPORATE MANAGER),(781) 599-1177,DAVIS SQUARE DENTAL SPECIALISTS,831848,JULIANA MASIELLO (CORPORATE MANAGER),(781) 599-1177,,0,,,THE BRACES PLACE OF LAWRENCE /// DAVIS SQUARE DENTAL SPECIALISTS,JULIANA MASIELLO
P3 - MEDIUM-HIGH,19 VILLAGE SQ,CHELMSFORD,1824,2968844,8,SAME PERSON CONTROLS ALL ENTITIES | 8 ENTITIES AT ONE ADDRESS | OVER $1M BILLED | BILLING SAME CODES: 92015 | ONE PERSON RUNS ALL,MASSACHUSETTS EYE ASSOCIATES PC,2790585,DAVID YI (SECRETARY/TREASURER),(978) 256-5600,JENNA WILLARD,52768,,(978) 256-5600,JENNIFER CALNAN,45354,,(978) 703-0250,MASSACHUSETTS EYE ASSOCIATES PC /// JENNA WILLARD /// JENNIFER CALNAN /// JOHN CONSTANTINE /// VIVIENNE KONG /// CECILY HAMILL /// BRUCE BUNKER /// DAVID YI,DAVID YI
P3 - MEDIUM-HIGH,8 ASYLUM ST,MILFORD,1757,2962463,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D0150 | ONE PERSON RUNS ALL,MILFORD SMILES,2961643,EDMOND MASSABNI (OWNER),(508) 473-7632,ANA SEITH,820,,(508) 473-7632,,0,,,MILFORD SMILES /// ANA SEITH,EDMOND MASSABNI
P3 - MEDIUM-HIGH,426 EAST ST,PITTSFIELD,1201,2878832,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 81002, 90460, 96127, 99051, 99213 | ONE PERSON RUNS ALL",EAST ELM PEDIATRICS,2744815,JOHN DALLENBACH (OWNER),(413) 442-8267,JOHN DALLENBACH,134017,,(413) 442-8267,,0,,,EAST ELM PEDIATRICS /// JOHN DALLENBACH,JOHN DALLENBACH
P3 - MEDIUM-HIGH,536 WASHINGTON ST,ABINGTON,2351,2842354,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 99204, 99213, 99214 | ONE PERSON RUNS ALL",ANGELS NEUROLOGICAL CENTERS PC,2836066,MAZEN ENEYNI (CEO),(781) 871-3773,MAZEN ENEYNI,6288,,(781) 871-3773,,0,,,ANGELS NEUROLOGICAL CENTERS PC /// MAZEN ENEYNI,MAZEN ENEYNI
P3 - MEDIUM-HIGH,289 GREAT ROAD,ACTON,1720,2787275,5,SAME PERSON CONTROLS ALL ENTITIES | 5 ENTITIES AT ONE ADDRESS | OVER $1M BILLED | BILLING SAME CODES: 99214 | ONE PERSON RUNS ALL,NEW ENGLAND CENTER FOR MENTAL HEALTH LLC,1796498,MADHAVI KAMIREDDI (MEDICAL DIRECTOR/OWNER),(978) 679-1200,MADHAVI KAMIREDDI,530041,,(978) 679-1200,MICHAEL PIZZA,453757,,(978) 679-1200,NEW ENGLAND CENTER FOR MENTAL HEALTH LLC /// MADHAVI KAMIREDDI /// MICHAEL PIZZA /// JANICE WESTER /// CHRISTOPHER PARMANAND,MADHAVI KAMIREDDI
P3 - MEDIUM-HIGH,505 WASHINGTON ST,QUINCY,2169,2786931,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D0120, D0140, D0274, D1110, D4341 | ONE PERSON RUNS ALL",LUX DENTAL,2065253,SAEED KASHEFI (GENERAL DENTIST AND PARTIAL OWNER),(617) 639-5942,MARY QIAN,721678,,(617) 639-5942,,0,,,LUX DENTAL /// MARY QIAN,SAEED KASHEFI
P3 - MEDIUM-HIGH,464 HILLSIDE AVE,NEEDHAM,2494,2683588,3,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 99214 | ONE PERSON RUNS ALL,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION,2651074,JOHN CHRISTOFORO (CEO),(617) 754-0730,GRACIA PEREZ-LIRIO,30277,,(781) 449-5170,IRINA KOGAN,2236,,(781) 449-5170,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION /// GRACIA PEREZ-LIRIO /// IRINA KOGAN,JOHN CHRISTOFORO
P3 - MEDIUM-HIGH,1R NEWBURY ST STE 205,PEABODY,1960,2654549,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90791, 90834, 90837 | ONE PERSON RUNS ALL",NORTH SHORE CLINICIANS GROUP LLC,2083545,KEVIN CARTY (OWNER),(978) 535-1606,KEVIN CARTY,571004,,(978) 535-1606,,0,,,NORTH SHORE CLINICIANS GROUP LLC /// KEVIN CARTY,KEVIN CARTY
P3 - MEDIUM-HIGH,2100 DORCHESTER AVE STE 1,DORCHESTER,2124,2652195,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 82310, 82565, 83540, 84100, J1644 | ONE PERSON RUNS ALL","BIO-MEDICAL APPLICATIONS OF MASSACHUSETTS, INC.",2185041,BARRY BLANTON (VICE PRESIDENT),(617) 298-2475,"FRESENIUS MEDICAL CARE CARNEY, LLC",467155,BARRY BLANTON (VP),(617) 298-2475,,0,,,"BIO-MEDICAL APPLICATIONS OF MASSACHUSETTS, INC. /// FRESENIUS MEDICAL CARE CARNEY, LLC",BARRY BLANTON
P3 - MEDIUM-HIGH,245 FIRST ST,CAMBRIDGE,2142,2647069,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: D0120, D0150, D1110 | ONE PERSON RUNS ALL",JESSICA MARN DDS BIG SMILES MASSACHUSETTS P.C.,2643875,JESSICA MARN (DENTAL DIRECTOR),(888) 833-8441,DANA BURKETT,3194,,(888) 833-8441,,0,,,JESSICA MARN DDS BIG SMILES MASSACHUSETTS P.C. /// DANA BURKETT,JESSICA MARN
P3 - MEDIUM-HIGH,830 HARRISON AVE,BOSTON,2118,2605141,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 99204 | ONE PERSON RUNS ALL,"BUMC OTOLARYNGOLOGIC FOUNDATION, INC.",2603817,GREGORY GRILLONE (PRESIDENT),(617) 638-8124,JESSICA LEVI,1325,,(617) 638-8124,,0,,,"BUMC OTOLARYNGOLOGIC FOUNDATION, INC. /// JESSICA LEVI",GREGORY GRILLONE
